Size,Smaller Delta,Temporary Delta,Open or Temporary Delta,Open or Open and Temporary Delta
2,1.0,0.91,1.0,1.0
3,0.99,0.83,0.97,0.97
4,0.98,0.83,0.97,0.97
5,0.99,0.75,0.93,0.93
6,0.94,0.78,0.92,0.9
7,0.88,0.74,0.8,0.78
8,0.9,0.78,0.86,0.86
9,0.74,0.74,0.76,0.78
10,0.8,0.86,0.9,0.9
11,0.84,0.7,0.82,0.84
12,0.68,0.82,0.88,0.88
13,0.62,0.76,0.78,0.82
14,0.72,0.74,0.74,0.76
15,0.78,0.8,0.84,0.88
